agency_name,facility_types,approx_pop,contact_person,contact_title,contact_phone,contact_email,rand_numb
Seeley Cnty WD,Collection | Treatment,740545,Person from Seeley Cnty WD,Job Title,1-800-555-4762,person@agency.gov,3
Humboldt County Resort Improvement District #1,Treatment,498218,Person from Humboldt County Resort Improvement District #1,Job Title,1-800-555-5680,person@agency.gov,5
St. Helena City,Interception | Treatment,375081,Person from St. Helena City,Job Title,1-800-555-8814,person@agency.gov,8
Summerland SD,Collection | Treatment,25344,Person from Summerland SD,Job Title,1-800-555-1084,person@agency.gov,3
US Navy Naval Air Station El Centro,Collection | Interception | Treatment | Disposal,42107,Person from US Navy Naval Air Station El Centro,Job Title,1-800-555-5788,person@agency.gov,1
Westmorland City,Collection | Interception | Treatment,128140,Person from Westmorland City,Job Title,1-800-555-1945,person@agency.gov,2
Williams City,Interception | Treatment,736971,Person from Williams City,Job Title,1-800-555-8999,person@agency.gov,8
Bear Valley CSD,Interception | Treatment,341213,Person from Bear Valley CSD,Job Title,1-800-555-4478,person@agency.gov,8
Stallion Springs CMSD,Collection | Interception | Treatment,406533,Person from Stallion Springs CMSD,Job Title,1-800-555-5643,person@agency.gov,2
Mariposa PUD, Interception | Disposal,293315,Person from Mariposa PUD,Job Title,1-800-555-4650,person@agency.gov,10
"Yountville, Town of",Interception | Treatment | Disposal,604537,"Person from Yountville, Town of",Job Title,1-800-555-2008,person@agency.gov,6
"Scotia Town, LLC",Interception | Treatment | Disposal,269380,"Person from Scotia Town, LLC",Job Title,1-800-555-1693,person@agency.gov,6
Anderson City,Interception | Treatment,585182,Person from Anderson City,Job Title,1-800-555-8808,person@agency.gov,8
Morro Bay City Administration Services Dept,Collection | Treatment,349707,Person from Morro Bay City Administration Services Dept,Job Title,1-800-555-2189,person@agency.gov,3
E&J Gallo Winery,Collection | Treatment,289517,Person from E&J Gallo Winery,Job Title,1-800-555-3509,person@agency.gov,3
"Harwood Products, Inc.",Treatment,323982,"Person from Harwood Products, Inc.",Job Title,1-800-555-7301,person@agency.gov,5
Salinas City,Collection | Disposal,918702,Person from Salinas City,Job Title,1-800-555-2286,person@agency.gov,9
Winters City,Collection | Disposal,993834,Person from Winters City,Job Title,1-800-555-7132,person@agency.gov,9
Hess Collection Winery,Interception | Treatment,870001,Person from Hess Collection Winery,Job Title,1-800-555-6079,person@agency.gov,8
Mayacama Golf Club LLC,Treatment | Disposal,968005,Person from Mayacama Golf Club LLC,Job Title,1-800-555-4101,person@agency.gov,4
Wish I Ah Care Center,Interception | Treatment,836167,Person from Wish I Ah Care Center,Job Title,1-800-555-2729,person@agency.gov,8
Fresno County,Treatment,755834,Person from Fresno County,Job Title,1-800-555-3125,person@agency.gov,5
Madera County Public Works Department - Special Districts, Interception | Disposal,207287,Person from Madera County Public Works Department - Special Districts,Job Title,1-800-555-3531,person@agency.gov,10
"Fernandez, Albert & Zinia",Treatment,803456,"Person from Fernandez, Albert & Zinia",Job Title,1-800-555-1701,person@agency.gov,5
USDI National Park Service Sequoia & Kings Canyon,Treatment,880011,Person from USDI National Park Service Sequoia & Kings Canyon,Job Title,1-800-555-6045,person@agency.gov,5
Merced Irrigation District,Interception | Treatment | Disposal,137003,Person from Merced Irrigation District,Job Title,1-800-555-8139,person@agency.gov,6
"Baer, William",Treatment,538732,"Person from Baer, William",Job Title,1-800-555-7940,person@agency.gov,5
Pacific Holt Corporation,Interception | Treatment | Disposal,441027,Person from Pacific Holt Corporation,Job Title,1-800-555-9645,person@agency.gov,7
Westside Harvesting LLC,Collection | Disposal,625346,Person from Westside Harvesting LLC,Job Title,1-800-555-6610,person@agency.gov,9
Ca Dept of Forestry Sacramento, Interception | Disposal,710840,Person from Ca Dept of Forestry Sacramento,Job Title,1-800-555-3972,person@agency.gov,10
Ione City,Collection | Interception | Treatment,21918,Person from Ione City,Job Title,1-800-555-7467,person@agency.gov,2
Ca Dept of Parks & Rec Lebec,Treatment | Disposal,191164,Person from Ca Dept of Parks & Rec Lebec,Job Title,1-800-555-8884,person@agency.gov,4
"Consolidated Tribal Health Project, Inc.",Interception | Treatment | Disposal,954201,"Person from Consolidated Tribal Health Project, Inc.",Job Title,1-800-555-6294,person@agency.gov,6
San Joaquin Cnty Public Works, Interception | Disposal,697743,Person from San Joaquin Cnty Public Works,Job Title,1-800-555-1714,person@agency.gov,10
Del Rio West by Paramount LLC, Interception | Disposal,506175,Person from Del Rio West by Paramount LLC,Job Title,1-800-555-5422,person@agency.gov,10
Dodge Ridge Corporation,Collection | Interception | Treatment | Disposal,79937,Person from Dodge Ridge Corporation,Job Title,1-800-555-4715,person@agency.gov,1
MP Mine Operations LLC,Collection | Interception | Treatment | Disposal,117683,Person from MP Mine Operations LLC,Job Title,1-800-555-2144,person@agency.gov,1
"Pete Pereira Co., LLC",Collection | Disposal,896720,"Person from Pete Pereira Co., LLC",Job Title,1-800-555-1711,person@agency.gov,9
"Amiri, Haleh",Collection | Interception | Treatment,772226,"Person from Amiri, Haleh",Job Title,1-800-555-8029,person@agency.gov,2
Amador Water Agency,Treatment,252504,Person from Amador Water Agency,Job Title,1-800-555-2181,person@agency.gov,5
US Army Corps of Engineers Sacramento,Collection | Interception | Treatment | Disposal,944474,Person from US Army Corps of Engineers Sacramento,Job Title,1-800-555-4646,person@agency.gov,1
US Army Corps of Engineers Smartville,Collection | Interception | Treatment | Disposal,953956,Person from US Army Corps of Engineers Smartville,Job Title,1-800-555-5282,person@agency.gov,1
"Evergreen Destination Holdings, LLC",Collection | Disposal,404933,"Person from Evergreen Destination Holdings, LLC",Job Title,1-800-555-8740,person@agency.gov,9
"STG Asset Management, Inc", Interception | Disposal,566398,"Person from STG Asset Management, Inc",Job Title,1-800-555-7200,person@agency.gov,10
French Ranch LLC,Treatment,641230,Person from French Ranch LLC,Job Title,1-800-555-4111,person@agency.gov,5
Ca Dept of Forestry Georgetown Calfire,Collection | Treatment,616579,Person from Ca Dept of Forestry Georgetown Calfire,Job Title,1-800-555-5873,person@agency.gov,3
Lake Don Pedro Homeowners Association,Interception | Treatment | Disposal,6130,Person from Lake Don Pedro Homeowners Association,Job Title,1-800-555-3597,person@agency.gov,6
Santa Barbara Cnty Parks Dept,Collection | Interception | Treatment,526665,Person from Santa Barbara Cnty Parks Dept,Job Title,1-800-555-1045,person@agency.gov,2
Butte CSA,Collection | Treatment,63830,Person from Butte CSA,Job Title,1-800-555-5402,person@agency.gov,3
US Army Corps of Engineers Lake Kaweah,Collection | Treatment,998357,Person from US Army Corps of Engineers Lake Kaweah,Job Title,1-800-555-1952,person@agency.gov,3
Deer Meadow Leachfield Service,Treatment | Disposal,701485,Person from Deer Meadow Leachfield Service,Job Title,1-800-555-6733,person@agency.gov,4
Leland Meadow Water District,Treatment | Disposal,247840,Person from Leland Meadow Water District,Job Title,1-800-555-7601,person@agency.gov,4
"Disinger, Margaret",Interception | Treatment,816790,"Person from Disinger, Margaret",Job Title,1-800-555-9883,person@agency.gov,8
Lewis Carroll School Assn,Interception | Treatment | Disposal,369565,Person from Lewis Carroll School Assn,Job Title,1-800-555-5276,person@agency.gov,7
Lagunitas School District,Interception | Treatment,583970,Person from Lagunitas School District,Job Title,1-800-555-9988,person@agency.gov,8
"McClure Boat Club, Inc",Collection | Disposal,975155,"Person from McClure Boat Club, Inc",Job Title,1-800-555-9353,person@agency.gov,9
Tuolumne Utilities District,Treatment,377994,Person from Tuolumne Utilities District,Job Title,1-800-555-5015,person@agency.gov,5
Ca Dept of Forestry Sanger,Treatment,792104,Person from Ca Dept of Forestry Sanger,Job Title,1-800-555-3694,person@agency.gov,5
Ca Dept of Forestry Springville,Interception | Treatment | Disposal,88138,Person from Ca Dept of Forestry Springville,Job Title,1-800-555-9280,person@agency.gov,6
US Navy Naval Air Station Lemoore,Collection | Interception | Treatment,374110,Person from US Navy Naval Air Station Lemoore,Job Title,1-800-555-8825,person@agency.gov,2
San Francisco City & County,Interception | Treatment | Disposal,300053,Person from San Francisco City & County,Job Title,1-800-555-9244,person@agency.gov,6
Hartland Christian Association,Collection | Treatment,681347,Person from Hartland Christian Association,Job Title,1-800-555-8573,person@agency.gov,3
Trinity Community Church,Collection | Disposal,518435,Person from Trinity Community Church,Job Title,1-800-555-9204,person@agency.gov,9
Ca Dept of Forestry Jamestown,Interception | Treatment | Disposal,233857,Person from Ca Dept of Forestry Jamestown,Job Title,1-800-555-9045,person@agency.gov,6
San Diego County Dept of Public Works,Treatment,762334,Person from San Diego County Dept of Public Works,Job Title,1-800-555-1912,person@agency.gov,5
Rawhide Investment Company Inc,Interception | Treatment | Disposal,324118,Person from Rawhide Investment Company Inc,Job Title,1-800-555-4646,person@agency.gov,6
Lytton Rancheria of California,Collection | Disposal,43797,Person from Lytton Rancheria of California,Job Title,1-800-555-1057,person@agency.gov,9
USDI Bureau of Reclamation Sacramento, Interception | Disposal,463854,Person from USDI Bureau of Reclamation Sacramento,Job Title,1-800-555-9481,person@agency.gov,10
Ca Dept of Parks & Rec Gustine,Collection | Treatment,971803,Person from Ca Dept of Parks & Rec Gustine,Job Title,1-800-555-7886,person@agency.gov,3
"Fry, April & Simon dba Los Banos West I-5 KOA",Treatment,971249,"Person from Fry, April & Simon dba Los Banos West I-5 KOA",Job Title,1-800-555-3537,person@agency.gov,5
Ocean Park Manor LLC,Interception | Treatment | Disposal,491593,Person from Ocean Park Manor LLC,Job Title,1-800-555-1057,person@agency.gov,7
Rush Creek Meadow & Douglas Family Trust,Collection | Interception | Treatment | Disposal,411037,Person from Rush Creek Meadow & Douglas Family Trust,Job Title,1-800-555-6049,person@agency.gov,1
United Fuels, Interception | Disposal,118314,Person from United Fuels,Job Title,1-800-555-6983,person@agency.gov,10
Sugar Pine HOA,Treatment | Disposal,721005,Person from Sugar Pine HOA,Job Title,1-800-555-7913,person@agency.gov,4
Tejon Grapevine,Interception | Treatment | Disposal,236478,Person from Tejon Grapevine,Job Title,1-800-555-6542,person@agency.gov,7
Tibetan Nyingma Meditation Center,Collection | Interception | Treatment,810421,Person from Tibetan Nyingma Meditation Center,Job Title,1-800-555-7918,person@agency.gov,2
Kern Cnty Eng & Surveying Services Dept,Collection | Interception | Treatment,725354,Person from Kern Cnty Eng & Surveying Services Dept,Job Title,1-800-555-3335,person@agency.gov,2
USDA Forest Service Six Rivers NF Eureka,Treatment | Disposal,468755,Person from USDA Forest Service Six Rivers NF Eureka,Job Title,1-800-555-9858,person@agency.gov,4
California American Water Company Monterey, Interception | Disposal,935456,Person from California American Water Company Monterey,Job Title,1-800-555-7603,person@agency.gov,10
CA Dept of Transportation District 3,Treatment | Disposal,598142,Person from CA Dept of Transportation District 3,Job Title,1-800-555-3053,person@agency.gov,4
North of River SD #1,Collection | Interception | Treatment,603186,Person from North of River SD #1,Job Title,1-800-555-8004,person@agency.gov,2
California Hot Springs Water Company,Treatment,461561,Person from California Hot Springs Water Company,Job Title,1-800-555-6453,person@agency.gov,5
Sierra Shadows MHP,Treatment,88555,Person from Sierra Shadows MHP,Job Title,1-800-555-8345,person@agency.gov,5
Del Rio East HOA, Interception | Disposal,814748,Person from Del Rio East HOA,Job Title,1-800-555-3684,person@agency.gov,10
"Singh, Lexander",Interception | Treatment | Disposal,19145,"Person from Singh, Lexander",Job Title,1-800-555-8013,person@agency.gov,7
Stanislaus Cnty Office of Education,Interception | Treatment,424545,Person from Stanislaus Cnty Office of Education,Job Title,1-800-555-9119,person@agency.gov,8
"DRB Riverland, LLC",Collection | Treatment,981930,"Person from DRB Riverland, LLC",Job Title,1-800-555-3939,person@agency.gov,3
Chawanakee Unified School District,Treatment | Disposal,678016,Person from Chawanakee Unified School District,Job Title,1-800-555-4595,person@agency.gov,4
US Army Corps of Engineers - Pine Flat Lake,Treatment | Disposal,647261,Person from US Army Corps of Engineers - Pine Flat Lake,Job Title,1-800-555-8405,person@agency.gov,4
MARIN COUNTY EHS (Marshall WWTP),Interception | Treatment | Disposal,340916,Person from MARIN COUNTY EHS (Marshall WWTP),Job Title,1-800-555-8412,person@agency.gov,6
Bartolomei Tommerick Bartolomei Properties LLC, Interception | Disposal,505754,Person from Bartolomei Tommerick Bartolomei Properties LLC,Job Title,1-800-555-9277,person@agency.gov,10
Kings River Union Elementary School District,Interception | Treatment | Disposal,93994,Person from Kings River Union Elementary School District,Job Title,1-800-555-5152,person@agency.gov,6
"Sonora Cascade Properties I, LP",Treatment | Disposal,215415,"Person from Sonora Cascade Properties I, LP",Job Title,1-800-555-1030,person@agency.gov,4
Sacramento MUD, Interception | Disposal,990855,Person from Sacramento MUD,Job Title,1-800-555-5661,person@agency.gov,10
Elk Grove Unified School District,Collection | Interception | Treatment | Disposal,864393,Person from Elk Grove Unified School District,Job Title,1-800-555-4390,person@agency.gov,1
Hageman Properties LLC,Interception | Treatment | Disposal,403594,Person from Hageman Properties LLC,Job Title,1-800-555-5506,person@agency.gov,6
Tulare Cnty Office of Education,Interception | Treatment | Disposal,881305,Person from Tulare Cnty Office of Education,Job Title,1-800-555-4979,person@agency.gov,6
Danco Builders,Collection | Disposal,549739,Person from Danco Builders,Job Title,1-800-555-3141,person@agency.gov,9
Brown-Forman Corporation, Interception | Disposal,317751,Person from Brown-Forman Corporation,Job Title,1-800-555-7805,person@agency.gov,10
Maxwell PUD,Treatment | Disposal,258427,Person from Maxwell PUD,Job Title,1-800-555-2169,person@agency.gov,4
Jordan Winery,Collection | Treatment,920891,Person from Jordan Winery,Job Title,1-800-555-8002,person@agency.gov,3
Kendall-Jackson Wine Estates,Treatment | Disposal,298750,Person from Kendall-Jackson Wine Estates,Job Title,1-800-555-7458,person@agency.gov,4
Rancho Cielo Youth Campus,Interception | Treatment,76056,Person from Rancho Cielo Youth Campus,Job Title,1-800-555-5099,person@agency.gov,8
Ca Dept of Parks & Rec Orick,Collection | Interception | Treatment,643291,Person from Ca Dept of Parks & Rec Orick,Job Title,1-800-555-7291,person@agency.gov,2
"Spirit of Joy Lutheran Church, Ramona, San Diego County",Collection | Interception | Treatment | Disposal,209290,"Person from Spirit of Joy Lutheran Church, Ramona, San Diego County",Job Title,1-800-555-7724,person@agency.gov,1
US Marine Corps Recruit Depot,Treatment | Disposal,791302,Person from US Marine Corps Recruit Depot,Job Title,1-800-555-9805,person@agency.gov,4
Santa Rosa City,Interception | Treatment | Disposal,138075,Person from Santa Rosa City,Job Title,1-800-555-5644,person@agency.gov,6
Smith Mountain LP, Interception | Disposal,77597,Person from Smith Mountain LP,Job Title,1-800-555-1377,person@agency.gov,10
Santa Rosa Regional Resources Authority,Collection | Interception | Treatment | Disposal,39042,Person from Santa Rosa Regional Resources Authority,Job Title,1-800-555-2927,person@agency.gov,1
"Van Dam, Craig",Collection | Treatment,91862,"Person from Van Dam, Craig",Job Title,1-800-555-1905,person@agency.gov,3
Lakeshore Resort,Collection | Interception | Treatment,112911,Person from Lakeshore Resort,Job Title,1-800-555-9040,person@agency.gov,2
New Auberry Water Association,Collection | Treatment,935057,Person from New Auberry Water Association,Job Title,1-800-555-3536,person@agency.gov,3
River Island East HOA,Collection | Treatment,73017,Person from River Island East HOA,Job Title,1-800-555-8981,person@agency.gov,3
Sherwood MHP,Interception | Treatment | Disposal,492376,Person from Sherwood MHP,Job Title,1-800-555-5971,person@agency.gov,7
Stonybrook Corporation,Interception | Treatment | Disposal,990423,Person from Stonybrook Corporation,Job Title,1-800-555-5299,person@agency.gov,6
Children's Hospital Central California,Collection | Interception | Treatment | Disposal,540192,Person from Children's Hospital Central California,Job Title,1-800-555-2468,person@agency.gov,1
AC Yosemite,Collection | Treatment,68888,Person from AC Yosemite,Job Title,1-800-555-2373,person@agency.gov,3
Lemon Cove Sanitary District,Collection | Disposal,251746,Person from Lemon Cove Sanitary District,Job Title,1-800-555-6757,person@agency.gov,9
London CSD, Interception | Disposal,102237,Person from London CSD,Job Title,1-800-555-1761,person@agency.gov,10
Sierra Joint Union High School District, Interception | Disposal,994118,Person from Sierra Joint Union High School District,Job Title,1-800-555-2420,person@agency.gov,10
Springville PUD,Interception | Treatment,678097,Person from Springville PUD,Job Title,1-800-555-8893,person@agency.gov,8
Golden State YMCA,Collection | Treatment,840959,Person from Golden State YMCA,Job Title,1-800-555-8678,person@agency.gov,3
MHC NAC Inc,Interception | Treatment,614129,Person from MHC NAC Inc,Job Title,1-800-555-8670,person@agency.gov,8
Majistee Corporation, Interception | Disposal,197411,Person from Majistee Corporation,Job Title,1-800-555-7200,person@agency.gov,10
Reynolds Resorts - Yosemite South LLC,Collection | Disposal,628395,Person from Reynolds Resorts - Yosemite South LLC,Job Title,1-800-555-1343,person@agency.gov,9
Yosemite Vista Estates,Interception | Treatment | Disposal,310447,Person from Yosemite Vista Estates,Job Title,1-800-555-7686,person@agency.gov,7
Yreka City,Collection | Interception | Treatment | Disposal,644533,Person from Yreka City,Job Title,1-800-555-3781,person@agency.gov,1
Mellenium Pacific Asset, Interception | Disposal,965522,Person from Mellenium Pacific Asset,Job Title,1-800-555-6104,person@agency.gov,10
Bohemian Club,Collection | Interception | Treatment | Disposal,711553,Person from Bohemian Club,Job Title,1-800-555-4182,person@agency.gov,1
Mustards Grill Restaurant,Treatment | Disposal,399249,Person from Mustards Grill Restaurant,Job Title,1-800-555-4845,person@agency.gov,4
Spalding Community Service District,Collection | Interception | Treatment | Disposal,641465,Person from Spalding Community Service District,Job Title,1-800-555-9586,person@agency.gov,1
El Dorado Cnty Env Mgmt Dept,Collection | Interception | Treatment | Disposal,420249,Person from El Dorado Cnty Env Mgmt Dept,Job Title,1-800-555-2427,person@agency.gov,1
Desert Vista Village LLC, Interception | Disposal,52544,Person from Desert Vista Village LLC,Job Title,1-800-555-5627,person@agency.gov,10
Drake Development LLC,Collection | Treatment,464459,Person from Drake Development LLC,Job Title,1-800-555-9821,person@agency.gov,3
Tomales Village CSD,Interception | Treatment | Disposal,119416,Person from Tomales Village CSD,Job Title,1-800-555-8906,person@agency.gov,7
Sysco Food Services of Sacramento Inc,Interception | Treatment | Disposal,841416,Person from Sysco Food Services of Sacramento Inc,Job Title,1-800-555-9261,person@agency.gov,7
East Bay MUD,Collection | Interception | Treatment | Disposal,411299,Person from East Bay MUD,Job Title,1-800-555-6664,person@agency.gov,1
Malibu City,Interception | Treatment,941579,Person from Malibu City,Job Title,1-800-555-3556,person@agency.gov,8
Anaheim City, Interception | Disposal,743520,Person from Anaheim City,Job Title,1-800-555-4956,person@agency.gov,10
Housing Authority Cnty of Merced,Collection | Disposal,861934,Person from Housing Authority Cnty of Merced,Job Title,1-800-555-5385,person@agency.gov,9
"Family Ranch, Inc.",Treatment | Disposal,816373,"Person from Family Ranch, Inc.",Job Title,1-800-555-1136,person@agency.gov,4
JH Ranch,Interception | Treatment,986213,Person from JH Ranch,Job Title,1-800-555-1755,person@agency.gov,8
Root Creek Water District,Collection | Interception | Treatment | Disposal,589076,Person from Root Creek Water District,Job Title,1-800-555-1574,person@agency.gov,1
Santa Rosa City Utilities Department (Biosolids),Interception | Treatment,990527,Person from Santa Rosa City Utilities Department (Biosolids),Job Title,1-800-555-8222,person@agency.gov,8
McCabe USD,Collection | Disposal,548858,Person from McCabe USD,Job Title,1-800-555-5974,person@agency.gov,9
Greek Orthodox Monestery of the Theotokos,Treatment | Disposal,889305,Person from Greek Orthodox Monestery of the Theotokos,Job Title,1-800-555-9897,person@agency.gov,4
Silver Oaks Cellars, Interception | Disposal,161115,Person from Silver Oaks Cellars,Job Title,1-800-555-3540,person@agency.gov,10
County of San Luis Obispo Dept. of Public Works,Interception | Treatment,279010,Person from County of San Luis Obispo Dept. of Public Works,Job Title,1-800-555-3704,person@agency.gov,8
Interstate 5 Travel Center,Interception | Treatment | Disposal,335953,Person from Interstate 5 Travel Center,Job Title,1-800-555-4124,person@agency.gov,7
CA Dept of Transportation District 6 Fresno,Collection | Disposal,236037,Person from CA Dept of Transportation District 6 Fresno,Job Title,1-800-555-5941,person@agency.gov,9
CA Dept of Transportation District 10 R5S,Collection | Interception | Treatment | Disposal,486966,Person from CA Dept of Transportation District 10 R5S,Job Title,1-800-555-1893,person@agency.gov,1
NASA-JPL, Interception | Disposal,870925,Person from NASA-JPL,Job Title,1-800-555-4886,person@agency.gov,10
Pacific Gas & Electric Company Auberry,Interception | Treatment | Disposal,130545,Person from Pacific Gas & Electric Company Auberry,Job Title,1-800-555-3851,person@agency.gov,6
Humane Society of Sonoma County,Interception | Treatment | Disposal,538471,Person from Humane Society of Sonoma County,Job Title,1-800-555-1577,person@agency.gov,6
Ramona Unified School District,Collection | Treatment,828324,Person from Ramona Unified School District,Job Title,1-800-555-5424,person@agency.gov,3
Mammoth Mountain Ski Area LLC,Treatment | Disposal,170830,Person from Mammoth Mountain Ski Area LLC,Job Title,1-800-555-9166,person@agency.gov,4
Los Angeles County Sanitation District 14,Interception | Treatment | Disposal,144053,Person from Los Angeles County Sanitation District 14,Job Title,1-800-555-9149,person@agency.gov,7
Napa Valley Marina,Collection | Interception | Treatment,767742,Person from Napa Valley Marina,Job Title,1-800-555-9700,person@agency.gov,2
San Antonio Canyon Mutual,Treatment | Disposal,615506,Person from San Antonio Canyon Mutual,Job Title,1-800-555-4217,person@agency.gov,4
"On The T Capital, LLC/Paradise With Purpose",Interception | Treatment | Disposal,55128,"Person from On The T Capital, LLC/Paradise With Purpose",Job Title,1-800-555-5138,person@agency.gov,7
Nick's Cove and Cottages,Interception | Treatment | Disposal,624376,Person from Nick's Cove and Cottages,Job Title,1-800-555-1250,person@agency.gov,7
Graeagle Land & Water Company,Collection | Interception | Treatment | Disposal,288870,Person from Graeagle Land & Water Company,Job Title,1-800-555-6233,person@agency.gov,1
CA Dept of Transportation District 9 Bishop R6,Interception | Treatment,51889,Person from CA Dept of Transportation District 9 Bishop R6,Job Title,1-800-555-1951,person@agency.gov,8
"Owner of OWTS at 100 Lagunitas Road, Lagunitas, Marin County",Collection | Interception | Treatment | Disposal,848627,"Person from Owner of OWTS at 100 Lagunitas Road, Lagunitas, Marin County",Job Title,1-800-555-5124,person@agency.gov,1
"Owner of OWTS at 195 Resaca Avenue, Forest Knolls, Marin County",Collection | Treatment,585880,"Person from Owner of OWTS at 195 Resaca Avenue, Forest Knolls, Marin County",Job Title,1-800-555-7753,person@agency.gov,3
Mendocino County Dept Public Works,Collection | Disposal,971733,Person from Mendocino County Dept Public Works,Job Title,1-800-555-9365,person@agency.gov,9
US Navy Environmental Division Naval Base Coronado PWO Building 3,Collection | Disposal,20509,Person from US Navy Environmental Division Naval Base Coronado PWO Building 3,Job Title,1-800-555-4126,person@agency.gov,9
"University of California, Davis - CAHFS",Collection | Disposal,547449,"Person from University of California, Davis - CAHFS",Job Title,1-800-555-6314,person@agency.gov,9
Saratoga Springs Owners,Collection | Interception | Treatment | Disposal,760539,Person from Saratoga Springs Owners,Job Title,1-800-555-1794,person@agency.gov,1
Super Store Industries,Treatment | Disposal,785561,Person from Super Store Industries,Job Title,1-800-555-6143,person@agency.gov,4
Harbor View Mutual Water Company,Collection | Interception | Treatment | Disposal,549819,Person from Harbor View Mutual Water Company,Job Title,1-800-555-8484,person@agency.gov,1
Lodi City,Collection | Treatment,419676,Person from Lodi City,Job Title,1-800-555-7263,person@agency.gov,3
US Air Force Vandenberg Air Force Base,Collection | Interception | Treatment | Disposal,505594,Person from US Air Force Vandenberg Air Force Base,Job Title,1-800-555-6137,person@agency.gov,1
Strasbaugh Inc,Collection | Interception | Treatment,940906,Person from Strasbaugh Inc,Job Title,1-800-555-4112,person@agency.gov,2
Walmart Stores East LP,Treatment | Disposal,367983,Person from Walmart Stores East LP,Job Title,1-800-555-2796,person@agency.gov,4
"Rodgers, Don",Interception | Treatment | Disposal,373703,"Person from Rodgers, Don",Job Title,1-800-555-3431,person@agency.gov,7
CA Dept of Transportation District 10,Interception | Treatment | Disposal,357979,Person from CA Dept of Transportation District 10,Job Title,1-800-555-1811,person@agency.gov,7
